"relationship_id","case_id","subject","object","products","connection","transaction_stage","technical_stage","event_date","date_basis","effective_start","effective_end","currentness","amount_cny","claims","sources","limitation"
"R-DEEP-EGP","deep","DEEP Robotics","Eastern Green Power","X30 quadruped | SPock inspection solution","Civilian application","Supplier reports pilot delivery","One-tunnel pilot","","Reported 17 Dec 2024; delivery date unknown","","","Dated observation","","C-DEEP-CHAIN","https://deeprobotics.cn/robot/wap/article/id/266.html","Supplier attribution; independent contract confirmation absent."
"R-DEEP-SP","deep","DEEP Robotics","SP Group","SPock inspection solution","Civilian application","Supplier reports delivery","Pilot","","By supplier report of 17 Dec 2024","","","Dated observation","","C-DEEP-CHAIN","https://deeprobotics.cn/robot/wap/article/id/266.html","Exact legal buyer, quantities and formal acceptance unknown."
"R-SP-USE","deep","SP Group","Unknown / unspecified","SPock inspection solution","Civilian application","Unknown","Inspection training and use","","Reported 27 Nov 2024","","","Dated observation","","C-SP-USE","https://www.spgroup.com.sg/about-us/media-resources/energy-hub/reliability/How-this-technical-officer-and-robot-SPock-hunt-hazards-to-protect-Singapore-power-tunnels","Customer account does not name the OEM or integrator."
"R-DEEP-PHASE2","deep","Hangzhou Yunshenchu Technology Co., Ltd.","SP Group","SPock inspection solution","Civilian application","Issuer reports first-batch delivery","Phase-two performance unverified","2025","2025; exact day unknown","","","Dated observation","","C-DEEP-FOLLOWON","https://dataclouds.cninfo.com.cn/sjother2/documents/2026/2026-05-18/3ef52e260c1cc31a8c57ab5e0abf2c14.pdf","First batch does not mean the full phase was completed."
"R-UNITREE-MARKET","unitree","Unitree Robotics","Unknown / unspecified","Unitree Go2","Commercial capability; customer unknown","Offered; no purchase observed","Commercial product listing","","Page observed 4 Sep 2026","","","Observed at review","","C-GO2","https://www.unitree.com/go2/","Buyer and end use are not established."
"R-UNITREE-SDK","unitree","Unitree Robotics","Unknown / unspecified","Unitree SDK2 | Unitree Go2","Commercial capability; customer unknown","Not applicable","SDK available","","Resource observed 4 Sep 2026","","","Observed at review","","C-UNITREE-SDK","https://github.com/unitreerobotics","No military integration relationship is documented."
"R-EXERCISE","unitree","Chinese participants at Golden Dragon 2024","Unknown / unspecified","Unidentified Golden Dragon quadrupeds","Military use; supplier unknown","Unknown","Exercise appearance","2024-05","May 2024; exact observation day unknown","","","Dated observation","","C-CCTV","https://military.cctv.com/2024/05/27/ARTIMW8UKPoPPY8VrtLwVd5P240527.shtml","No manufacturer or seller is identified; no edge to Unitree is asserted."
"R-JINGPIN-ROBOTS","jingpin","Beijing Jingpin Special Equipment","Unknown / unspecified","Jingpin military-robot portfolio","Defense products; buyer unidentified","Aggregate revenue recognized","Portfolio; model stages differ","2024","FY2024","","","Dated observation","","C-JINGPIN-ROBOTS | C-JINGPIN-REVENUE","https://static.cninfo.com.cn/finalpage/2025-04-29/1223380866.PDF","Named model deliveries and end users remain unknown."
"R-JINGPIN-MODULES","jingpin","Beijing Jingpin Special Equipment","Unknown / unspecified","Jingpin upstream robot products","Defense-related development","External sales not established","Research and development","2024","FY2024 report","","","Dated observation","","C-JINGPIN-MODULES","https://static.cninfo.com.cn/finalpage/2025-04-29/1223380866.PDF","Complete-robot maturity cannot be transferred to this product family."
"R-JINGPIN-CIVIL","jingpin","Beijing Jingpin Special Equipment","Unknown / unspecified","Jingpin civilian manufacturing applications","Military-to-civilian claim","Management reports emerging business","Transfer not independently validated","2024","FY2024 report","","","Dated observation","","C-JINGPIN-CIVIL","https://static.cninfo.com.cn/finalpage/2025-04-29/1223380866.PDF","Customer acceptance and technical lineage not independently established."
"R-XIRUI-SMALL","xirui","Guangdong Xirui Intelligent Technology","Shanghai Waigaoqiao Shipbuilding","Small-parts grinding workstation","Shipyard production; naval use unknown","Awarded","Acceptance and installation unknown","","Final notice published 25 Aug 2025; award-decision date not separately established","","","Dated observation","7920000","C-XIRUI-SMALL","https://www.csscbidding.com/jyxx/003001/003001004/20250825/5a186f89-8939-4634-9bdc-bb09d21cbcbb.html","Awarded value; not recognized revenue or installed capacity."
"R-XIRUI-TINY","xirui","Guangdong Xirui Intelligent Technology","Shanghai Waigaoqiao Shipbuilding","Very-small-parts grinding workstation","Shipyard production; naval use unknown","Awarded","Acceptance and installation unknown","","Final notice published 25 Aug 2025; award-decision date not separately established","","","Dated observation","2450000","C-XIRUI-TINY","https://csscbidding.com/jyxx/003001/003001004/20250825/fc564718-4800-43a3-b82a-02c5058139fe.html","Does not identify any naval vessel or program."
"R-ESTUN-CONTROL","estun","Nanjing Dingkong","Yangzhou Shuguang","Yangzhou Shuguang servo systems","Historical defense ownership","Equity transfer completed","Product performance not assessed","2017-12-12","12 Dec 2017 to 25 Jun 2025","2017-12-12","2025-06-25","Historical","","C-ESTUN-CLOSE | C-ESTUN-CONTROL","https://epaper.stcn.com/paper/zqsb/html/2017-12/14/content_1077215.htm | https://www.hkexnews.hk/listedco/listconews/sehk/2026/0227/12031239/2026022700113_c.pdf","A historical ownership relationship, not an Estun-branded robot supply contract."
"R-ESTUN-ASSOCIATE","estun","Estun","Yangzhou Shuguang","Yangzhou Shuguang servo systems","Historical defense ownership","20-point disposal completed","Not assessed","2025-06-25","25 Jun to 3 Nov 2025","2025-06-25","2025-11-03","Historical","","C-ESTUN-CONTROL | C-ESTUN-EXIT","https://www.hkexnews.hk/listedco/listconews/sehk/2026/0227/12031239/2026022700113_c.pdf","Control ended in June; the remaining equity holding ended in November."
"R-ESTUN-EXIT","estun","Estun","Wuxi Xinhongye Wire & Cable Technology","Yangzhou Shuguang servo systems","Ownership exit","Disposal completed","Not assessed","2025-11-03","3 Nov 2025; agreed 20 Oct 2025","","","Completed event","","C-ESTUN-EXIT","https://www.hkexnews.hk/listedco/listconews/sehk/2026/0227/12031239/2026022700113_c.pdf","Reports transfer to the buyer; continued technical or commercial ties need separate evidence."
"R-SIASUN-COOP","siasun","Siasun","AVIC Shenyang Civil Aircraft","Civil-aircraft metal-printing research","Civilian application","Cooperation reported","Proposed manufacturing research","","Reported 30 Jun 2015; agreement date unknown","","","Dated observation","","C-SIASUN-COOP | C-SIASUN-PLAN","https://www.siasun.com/news-detail650.html","Civil C919-related research; neither military procurement nor completed deployment is established."
